"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.91444256660089e-21,0.514832099757651,0.732,0.439,5.53540076674507e-17,"Interneurons","ATPAF1"
2.94563858831119e-21,0.550334908490076,0.642,0.373,5.59465137077944e-17,"Interneurons","FAM131B"
3.12655674203352e-21,0.573222712312401,0.631,0.38,5.93826922014427e-17,"Interneurons","SPOP"
3.20284202351882e-21,0.428349166628506,0.775,0.458,6.08315785526929e-17,"Interneurons","UQCRC2"
3.22743936377628e-21,0.506016531761275,0.766,0.466,6.12987558362029e-17,"Interneurons","HDGFL3"
3.27505412773427e-21,0.586494760419114,0.53,0.295,6.2203103048057e-17,"Interneurons","SFT2D1"
3.31189750481397e-21,0.459831640728086,0.603,0.351,6.29028693089317e-17,"Interneurons","GAMT"
3.3214934853196e-21,0.407143512649177,0.899,0.567,6.30851257666751e-17,"Interneurons","METTL7A"
3.37335189905114e-21,0.545514275902029,0.589,0.344,6.40700726186783e-17,"Interneurons","ABCD3"
3.52279262715748e-21,0.567760192168476,0.586,0.333,6.69084003676021e-17,"Interneurons","STARD7"
3.53314229161723e-21,0.523402001535444,0.645,0.382,6.7104971544686e-17,"Interneurons","ARHGAP12"
3.599245277186e-21,0.446511355120155,0.727,0.438,6.83604655495937e-17,"Interneurons","FGFR3"
3.72646867071124e-21,0.463722077404724,0.735,0.44,7.07768194628187e-17,"Interneurons","MGLL"
3.73116824986284e-21,0.452629827268408,0.769,0.461,7.0866078569645e-17,"Interneurons","GABARAPL2"
3.73634603477557e-21,0.436460033696229,0.761,0.461,7.09644202384924e-17,"Interneurons","RAB4A"
3.7413451083697e-21,0.429322282802921,0.862,0.543,7.10593676432656e-17,"Interneurons","BCL2L2"
3.8217787147974e-21,0.438629228653883,0.811,0.48,7.25870431301471e-17,"Interneurons","MAGED1"
3.93971095612072e-21,0.470789683725243,0.546,0.31,7.48269301896008e-17,"Interneurons","ZC3H6"
4.03323952997619e-21,0.499362209121581,0.687,0.402,7.66033183928378e-17,"Interneurons","MFN2"
4.08614632809137e-21,0.435600440117702,0.673,0.392,7.76081772094393e-17,"Interneurons","EIF4G2"
4.1048810048509e-21,0.344003104969134,0.552,0.293,7.79640049251332e-17,"Interneurons","ST3GAL4"
4.11354855868902e-21,0.434425721877249,0.862,0.513,7.81286277751806e-17,"Interneurons","FKBP8"
4.16556844915665e-21,0.381773886411416,0.49,0.246,7.91166415548323e-17,"Interneurons","CDKN1C"
4.34135332156107e-21,0.4932313240161,0.772,0.481,8.24553236364093e-17,"Interneurons","IMPAD1"
4.42238060713098e-21,0.578073622183469,0.501,0.272,8.39942748712387e-17,"Interneurons","CNTFR"
4.43970997786577e-21,0.49060041161117,0.679,0.396,8.43234116096046e-17,"Interneurons","MICAL3"
4.44116498566352e-21,0.437913823355378,0.662,0.384,8.43510465727072e-17,"Interneurons","ELOVL5"
4.50232637932952e-21,0.43012848927516,0.78,0.457,8.55126849226057e-17,"Interneurons","DNAJA4"
4.65328529422691e-21,0.481026540261368,0.865,0.533,8.83798475932516e-17,"Interneurons","PAFAH1B2"
4.71974600576304e-21,1.09006551755907,0.169,0.052,8.96421358874574e-17,"Interneurons","CA14"
4.93368239181726e-21,0.428062490912446,0.648,0.374,9.37054296677853e-17,"Interneurons","PEX19"
4.95040276942681e-21,0.578536037135621,0.397,0.19,9.40229997997235e-17,"Interneurons","SMAD9"
5.21409415662471e-21,0.585794878321582,0.592,0.347,9.90312903167731e-17,"Interneurons","CYP4V2"
5.3721324055975e-21,0.402245358392926,0.687,0.37,1.02032910779513e-16,"Interneurons","KIF3C"
5.37811438230377e-21,0.462945573703979,0.823,0.491,1.02146526463096e-16,"Interneurons","CCNY"
5.7677489903747e-21,0.453965324964992,0.631,0.332,1.09546856574187e-16,"Interneurons","ADCY1"
5.98656266079174e-21,0.466289478115345,0.71,0.442,1.13702784616418e-16,"Interneurons","TMEM219"
6.02130455063635e-21,1.55248030863339,0.262,0.11,1.14362637330236e-16,"Interneurons","CDHR1"
6.47209281585159e-21,0.470623756663452,0.718,0.445,1.22924458851469e-16,"Interneurons","ZHX3"
6.58341593621981e-21,0.478405796308607,0.834,0.523,1.25038818876623e-16,"Interneurons","MORF4L1"
6.74213281368083e-21,0.585600567727501,0.414,0.201,1.2805332853024e-16,"Interneurons","NCKAP5"
6.84425063751202e-21,0.490697455354946,0.589,0.313,1.29992852358266e-16,"Interneurons","CD200"
6.85242443682434e-21,0.512166620741967,0.575,0.313,1.30148097328605e-16,"Interneurons","SLC4A4"
6.85461935923878e-21,0.433086015884514,0.738,0.429,1.30189785490022e-16,"Interneurons","VDAC3"
6.88470475504151e-21,0.633178772247678,0.532,0.297,1.30761197412503e-16,"Interneurons","RAB4B"
6.90399134422757e-21,0.501812826729076,0.775,0.483,1.31127507600914e-16,"Interneurons","AGPAT1"
7.46028181646604e-21,0.492075307543464,0.735,0.445,1.41693132540139e-16,"Interneurons","ST3GAL5"
7.6637056847062e-21,0.492635042619231,0.676,0.406,1.45556762069625e-16,"Interneurons","CEP170"
7.73700434550986e-21,0.579518784338868,0.38,0.18,1.46948923534269e-16,"Interneurons","DSCAML1"
8.53043942195386e-21,0.521239788343366,0.648,0.386,1.6201863594117e-16,"Interneurons","ANGEL1"
8.62822411670915e-21,0.399226335149075,0.918,0.561,1.63875860648657e-16,"Interneurons","SPOCK2"
9.31707707810544e-21,0.488818508611253,0.651,0.378,1.76959244944457e-16,"Interneurons","SELENOM"
9.34300083262367e-21,0.536775277543555,0.665,0.384,1.77451614814021e-16,"Interneurons","CDIP1"
9.58850582462661e-21,0.514100159305365,0.721,0.441,1.82114491127133e-16,"Interneurons","ARHGAP35"
9.76658430301639e-21,0.634750624381549,0.575,0.339,1.8549673566719e-16,"Interneurons","CUL5"
9.77576004060382e-21,0.429625061928147,0.944,0.606,1.85671010451188e-16,"Interneurons","DYNLRB1"
1.00248878443024e-20,0.47004197038807,0.766,0.491,1.90402694826835e-16,"Interneurons","RABGAP1"
1.02582493193864e-20,0.480656690642724,0.628,0.366,1.94834929323106e-16,"Interneurons","SDHA"
1.03728651761325e-20,0.368334229587232,0.713,0.379,1.97011828290284e-16,"Interneurons","CHST1"
1.04034025874644e-20,0.405012738071508,0.8,0.496,1.97591825343712e-16,"Interneurons","HIPK3"
1.05066688367328e-20,0.480626223937796,0.575,0.327,1.99553161216067e-16,"Interneurons","NOL4L"
1.1076232508775e-20,0.447572045104501,0.769,0.47,2.10370884039164e-16,"Interneurons","SNX17"
